"DateAnalyzed","%sand","%silt","%clay","Depth","TopoType","DateMeasured","Drought"
"6/10/15","48.0749028727048","30.69817919915","21.2269179281452","15-30","Ridge","April 2015","Pre-drought"
"6/10/15","47.9602779342339","29.9303411209239","22.1093809448422","0-15","Ridge","April 2015","Pre-drought"
"6/10/15","40.6153663270101","19.4805235931279","39.904110079862","15-30","Ridge","April 2015","Pre-drought"
"6/10/15","42.5229469076015","25.9203368766523","31.5567162157462","15-30","Ridge","April 2015","Pre-drought"
"6/10/15","48.1633099795353","30.3721865778062","21.4645034426585","0-10","Ridge","April 2015","Pre-drought"
"6/10/15","45.2535513044958","28.5494182124614","26.1970304830428","0-15","Ridge","April 2015","Pre-drought"
"6/10/15","51.1419813354682","21.3792432168806","27.4787754476512","15-30","Valley","April 2015","Pre-drought"
"6/10/15","51.4675287555154","24.7361892837683","23.7962819607163","0-15","Mid-slope","April 2015","Pre-drought"
"6/10/15","51.672100901668","26.3491553547137","21.9787437436183","15-30","Mid-slope","April 2015","Pre-drought"
"6/10/15","52.5595763459841","19.7728045958721","27.6676190581438","15-30","Valley","April 2015","Pre-drought"
"6/22/15","53.5750610710381","24.6066805811627","21.8182583477992","15-30","Valley","April 2015","Pre-drought"
"6/22/15","61.4392391827338","15.7042720251441","22.8564887921221","0-15","Valley","April 2015","Pre-drought"
"6/22/15","58.6596295526337","18.5095335237616","22.8308369236047","0-15","Valley","April 2015","Pre-drought"
"6/22/15","61.0669649327165","15.7314883834388","23.2015466838448","0-15","Valley","April 2015","Pre-drought"
"6/22/15","53.7384616655474","19.3963611742675","26.8651771601851","15-30","Mid-slope","April 2015","Pre-drought"
"6/22/15","61.8508900062732","23.8655710252388","14.283538968488","0-15","Mid-slope","April 2015","Pre-drought"
"6/22/15","48.5434801535912","20.2053730107941","31.2511468356147","15-30","Mid-slope","April 2015","Pre-drought"
"6/22/15","56.9488814251248","20.1493418061025","22.9017767687727","0-15","Mid-slope","April 2015","Pre-drought"
